零件名,工序,资源,开始(min),结束(min),时长(min)
AP2-G5-4B3-1S,分拣,自动分拣N51,186.5412273793998,188.1212273793998,1.5800000000000125
AP2-G5-4B3-1S,自动打磨,自动打磨N51,188.1212273793998,189.49522674447917,1.3739993650793565
AP2-G5-4B3-1S,桁架码垛,自动分拣N51,189.49522674447917,190.66522674447916,1.1699999999999875
AP2-G2-1B1-1S,分拣,自动分拣N51,190.66522674447916,192.24522674447917,1.5800000000000125
AP2-G2-1B1-1S,自动打磨,自动打磨N51,192.24522674447917,193.61922610955853,1.3739993650793565
AP2-G2-1B1-1S,桁架码垛,自动分拣N51,193.61922610955853,194.7892261095585,1.1699999999999875
AP2-G3-4B4-1S,分拣,自动分拣N51,194.7892261095585,196.36922610955853,1.5800000000000125
AP2-G3-4B4-1S,自动打磨,自动打磨N51,196.36922610955853,197.74322547463788,1.3739993650793565
AP2-G3-4B4-1S,桁架码垛,自动分拣N51,197.74322547463788,198.91322547463787,1.1699999999999875
AP2-G3-4B5-1S,分拣,自动分拣N51,198.91322547463787,200.49322547463788,1.5800000000000125
AP2-G3-4B5-1S,自动打磨,自动打磨N51,200.49322547463788,203.5012208714633,3.0079953968254074
AP2-G3-4B5-1S,桁架码垛,自动分拣N51,203.5012208714633,204.67122087146328,1.1699999999999875
AP2-G4-4B1-1S,分拣,自动分拣N51,204.67122087146328,206.2512208714633,1.5800000000000125
AP2-G4-4B1-1S,自动打磨,自动打磨N51,206.2512208714633,207.62522023654265,1.3739993650793565
AP2-G4-4B1-1S,桁架码垛,自动分拣N51,207.62522023654265,208.79522023654263,1.1699999999999875
AP2-G4-4B2-1P,分拣,自动分拣N51,208.79522023654263,210.37522023654265,1.5800000000000125
AP2-G4-4B2-1P,自动打磨,自动打磨N51,210.37522023654265,213.38321571273312,3.007995476190473
AP2-G4-4B2-1P,桁架码垛,自动分拣N51,213.38321571273312,214.5532157127331,1.1699999999999875
AP2-G4-4B2-1S,分拣,自动分拣N51,214.5532157127331,216.13321571273312,1.5800000000000125
AP2-G4-4B2-1S,自动打磨,自动打磨N51,216.13321571273312,217.50721507781248,1.3739993650793565
AP2-G4-4B2-1S,桁架码垛,自动分拣N51,217.50721507781248,218.67721507781246,1.1699999999999875
AP2-G5-4B1-1P,分拣,自动分拣N51,218.67721507781246,220.25721507781248,1.5800000000000125
AP2-G5-4B1-1P,自动打磨,自动打磨N51,220.25721507781248,223.2764068238442,3.019191746031737
AP2-G5-4B1-1P,桁架码垛,自动分拣N51,223.2764068238442,224.4464068238442,1.1699999999999875
AP2-G5-4B1-1S,分拣,自动分拣N51,224.4464068238442,226.0264068238442,1.5800000000000125
AP2-G5-4B1-1S,自动打磨,自动打磨N51,226.0264068238442,229.06604206193944,3.0396352380952294
AP2-G5-4B1-1S,桁架码垛,自动分拣N51,229.06604206193944,230.23604206193943,1.1699999999999875
