套料图名,分段号,切割机,切割序号,切割开始(min),切割完成(min),切割工时(min),原料吊运开始(min),原料空驶完成(min),原料吊运完成(min),原料吊运返回完成(min),工位开始(min),等待结束(min),工位处理时间(min),工位完工(min),工位,最低优先级
E01S-1246,BN1,N5,36,1387.3697630037002,1439.804718072023,52.434955068322786,1376.3697630037002,1384.3697630037002,1387.3697630037002,1387.3697630037002,1387.3697630037002,1387.3697630037002,131.18429343890534,1570.9890115109283,0,1
E01S-1209,BN1,N2,37,1733.5907683079035,1779.1032464349598,45.51247812705627,1689.5444319427688,1692.5444319427688,1695.5444319427688,1695.5444319427688,1695.5444319427688,1733.5907683079035,71.0701102062767,1850.1733566412365,1,1
E01S-1223,BN1,N2,38,1833.597216085681,1867.3279034658447,33.730687380163566,1827.597216085681,1830.597216085681,1833.597216085681,1833.597216085681,1833.597216085681,1833.597216085681,17.905878809523756,1885.2337822753684,0,1
E01S-1211,BN1,N5,39,1475.020952225214,1498.6078625276116,23.586910302397754,1469.020952225214,1472.020952225214,1475.020952225214,1475.020952225214,1475.020952225214,1475.020952225214,3.0,1501.6078625276116,1,1
E01S-1219,BN1,N5,40,1512.6078625276116,1538.3716323450606,25.763769817449027,1501.6078625276116,1509.6078625276116,1512.6078625276116,1512.6078625276116,1512.6078625276116,1512.6078625276116,5.653006461538553,1544.0246388065991,1,2
E01S-1212,BN1,N5,41,1555.0246388065991,1586.9262327047013,31.901593898102153,1544.0246388065991,1552.0246388065991,1555.0246388065991,1555.0246388065991,1555.0246388065991,1555.0246388065991,3.0,1589.9262327047013,1,2
E01S-1210,BN1,N2,42,1867.3279034658447,1900.4944557232948,33.16655225745019,1844.4241882684319,1852.4241882684319,1855.4241882684319,1855.4241882684319,1855.4241882684319,1867.3279034658447,5.0,1905.4944557232948,1,2
E01S-1200,BN1,N5,43,1586.9262327047013,1630.5135357796512,43.587303074949816,1576.6507646695559,1579.6507646695559,1582.6507646695559,1582.6507646695559,1582.6507646695559,1586.9262327047013,12.889475238095201,1643.4030110177464,0,2
E01S-1221,BN1,N5,44,1630.5135357796512,1748.584561097626,118.07102531797486,1596.7565402684318,1604.7565402684318,1607.7565402684318,1607.7565402684318,1607.7565402684318,1630.5135357796512,127.01397730158715,1875.598538399213,1,2
E01S-1215,BN1,N5,45,1748.584561097626,1875.8672195614313,127.28265846380539,1640.467298269997,1648.467298269997,1651.467298269997,1651.467298269997,1651.467298269997,1748.584561097626,8.252356349206366,1884.1195759106376,0,2
E01S-1225,BN1,N5,46,1875.8672195614313,1905.1664161137578,29.299196552326617,1869.598538399213,1872.598538399213,1875.598538399213,1875.598538399213,1875.598538399213,1875.8672195614313,52.64614349206295,1957.8125596058208,1,3
E01S-1233,BN1,N5,47,1905.1664161137578,1945.4394903966886,40.273074282930736,1883.6503319204053,1891.6503319204053,1894.6503319204053,1894.6503319204053,1894.6503319204053,1905.1664161137578,5.689024153846049,1951.1285145505346,0,3
E01S-1231,BN1,N5,48,1962.1285145505346,2007.6829807837162,45.554466233181415,1951.1285145505346,1959.1285145505346,1962.1285145505346,1962.1285145505346,1962.1285145505346,1962.1285145505346,55.555727222221776,2063.238708005938,1,3
E01S-1222,BN1,N5,49,2007.6829807837162,2058.889127733039,51.206146949322815,1962.1285145505346,1965.1285145505346,1968.1285145505346,1968.1285145505346,1968.1285145505346,2007.6829807837162,40.16133781258259,2099.0504655456216,0,3
E01S-1218,BN1,N5,50,2063.238708005938,2118.3949083376183,55.15620033168035,2052.238708005938,2060.238708005938,2063.238708005938,2063.238708005938,2063.238708005938,2063.238708005938,8.502872539682357,2126.8977808773006,1,3
E01S-1220,BN1,N2,51,1911.4944557232948,1968.881776637225,57.387320913930125,1905.4944557232948,1908.4944557232948,1911.4944557232948,1911.4944557232948,1911.4944557232948,1911.4944557232948,17.036675873015838,1985.9184525102407,0,3
E01S-1230,BN1,N2,52,1968.881776637225,2036.3016312630793,67.41985462585454,1911.4944557232948,1919.4944557232948,1922.4944557232948,1922.4944557232948,1922.4944557232948,1968.881776637225,5.8132722564103005,2042.1149035194896,1,3
E01S-1243,BN1,N5,53,2118.3949083376183,2206.588659161574,88.1937508239557,2088.0504655456216,2096.0504655456216,2099.0504655456216,2099.0504655456216,2099.0504655456216,2118.3949083376183,100.33145746031687,2306.920116621891,0,3
E01S-1216,BN1,N5,54,2206.588659161574,2226.244187560104,19.65552839853011,2124.3669231581307,2127.3669231581307,2130.3669231581307,2130.3669231581307,2130.3669231581307,2206.588659161574,5.659674358974371,2231.9038619190783,1,4
E01S-1227,BN1,N2,55,2036.3016312630793,2062.8052655278198,26.503634264740445,1979.9184525102407,1982.9184525102407,1985.9184525102407,1985.9184525102407,1985.9184525102407,2036.3016312630793,10.433442478118195,2073.238708005938,0,4
E01S-1235,BN1,N5,56,2242.9038619190783,2300.076086549437,57.172224630358706,2231.9038619190783,2239.9038619190783,2242.9038619190783,2242.9038619190783,2242.9038619190783,2242.9038619190783,33.69568515181891,2333.771771701256,1,4
E01S-1238,BN1,N2,57,2079.238708005938,2179.5846744088517,100.34596640291396,2073.238708005938,2076.238708005938,2079.238708005938,2079.238708005938,2079.238708005938,2079.238708005938,8.622809523809792,2188.2074839326615,1,4
E01S-1241,BN1,N2,58,2179.5846744088517,2210.575099556018,30.990425147166366,2099.0504655456216,2107.0504655456216,2110.0504655456216,2110.0504655456216,2110.0504655456216,2179.5846744088517,8.770595039682576,2219.3456945957005,0,6
E01S-1213,BN1,N2,59,2210.575099556018,2248.566542408027,37.9914428520094,2187.49120384475,2195.49120384475,2198.49120384475,2198.49120384475,2198.49120384475,2210.575099556018,5.823589743589764,2254.390132151617,1,6
E01S-1237,BN1,N5,60,2318.81240962636,2359.4905980414046,40.678188415044744,2307.81240962636,2315.81240962636,2318.81240962636,2318.81240962636,2318.81240962636,2318.81240962636,6.055426923076993,2365.5460249644816,0,6
E01S-1236,BN1,N5,61,2359.4905980414046,2402.0796408324386,42.589042791033805,2327.771771701256,2330.771771701256,2333.771771701256,2333.771771701256,2333.771771701256,2359.4905980414046,5.580575589743603,2407.660216422182,1,6
E01S-1239,BN1,N5,62,2402.0796408324386,2449.8692395694115,47.789598736972735,2365.5460249644816,2373.5460249644816,2376.5460249644816,2376.5460249644816,2376.5460249644816,2402.0796408324386,6.302808461538461,2456.17204803095,0,6
