套料图名,分段号,切割机,切割序号,切割开始(min),切割完成(min),切割工时(min),原料吊运开始(min),原料空驶完成(min),原料吊运完成(min),原料吊运返回完成(min),工位开始(min),等待结束(min),工位处理时间(min),工位完工(min),工位,最低优先级
E01S-1209,BN1,N2,73,2301.904962928519,2347.417441055575,45.51247812705627,2232.094544707744,2235.094544707744,2238.094544707744,2238.094544707744,2238.094544707744,2301.904962928519,16.57614055555632,2363.9935816111315,1,1
E01S-1210,BN1,N2,74,2347.417441055575,2380.5839933130255,33.16655225745019,2305.952843543904,2308.952843543904,2311.952843543904,2311.952843543904,2311.952843543904,2347.417441055575,5.0,2385.5839933130255,0,2
E01S-1211,BN1,N2,75,2380.5839933130255,2404.1709036154234,23.586910302397754,2357.9935816111315,2360.9935816111315,2363.9935816111315,2363.9935816111315,2363.9935816111315,2380.5839933130255,3.0,2407.1709036154234,1,1
E01S-1212,BN1,N2,76,2404.1709036154234,2436.0724975135254,31.901593898102153,2385.5839933130255,2393.5839933130255,2396.5839933130255,2396.5839933130255,2396.5839933130255,2404.1709036154234,19.86235954631229,2455.9348570598377,0,2
E01S-1213,BN1,N2,77,2436.0724975135254,2474.0639403655346,37.9914428520094,2407.1709036154234,2415.1709036154234,2418.1709036154234,2418.1709036154234,2418.1709036154234,2436.0724975135254,5.823589743589764,2479.8875301091243,1,6
E01S-1215,BN1,N2,78,2474.0639403655346,2601.34659882934,127.28265846380539,2455.9348570598377,2463.9348570598377,2466.9348570598377,2466.9348570598377,2466.9348570598377,2474.0639403655346,8.252356349206366,2609.5989551785465,0,2
E01S-1216,BN1,N5,79,2669.108836760796,2688.7643651593257,19.65552839853011,2479.8875301091243,2487.8875301091243,2490.8875301091243,2490.8875301091243,2490.8875301091243,2669.108836760796,5.659674358974371,2694.4240395183,1,4
E01S-1217,BN1,N5,80,2705.4240395183,2708.442507483305,3.0184679650047936,2694.4240395183,2702.4240395183,2705.4240395183,2705.4240395183,2705.4240395183,2705.4240395183,54.81425586479236,2763.256763348097,1,9
E01S-1218,BN1,N5,81,2758.8307756939143,2813.9869760255947,55.15620033168035,2752.8307756939143,2755.8307756939143,2758.8307756939143,2758.8307756939143,2758.8307756939143,2758.8307756939143,8.502872539682357,2822.489848565277,0,3
E01S-1219,BN1,N5,82,2813.9869760255947,2839.7507458430437,25.763769817449027,2758.8307756939143,2761.8307756939143,2764.8307756939143,2764.8307756939143,2764.8307756939143,2813.9869760255947,5.653006461538553,2845.403752304582,1,2
E01S-1220,BN1,N5,83,2856.403752304582,2913.7910732185123,57.387320913930125,2845.403752304582,2853.403752304582,2856.403752304582,2856.403752304582,2856.403752304582,2856.403752304582,17.036675873016065,2930.8277490915284,0,3
E01S-1221,BN1,N2,84,2601.34659882934,2719.417624147315,118.07102531797486,2490.8875301091243,2493.8875301091243,2496.8875301091243,2496.8875301091243,2496.8875301091243,2601.34659882934,127.01397730158988,2846.431601448905,1,2
E01S-1222,BN1,N5,85,2913.7910732185123,2964.997220167835,51.206146949322815,2856.403752304582,2864.403752304582,2867.403752304582,2867.403752304582,2867.403752304582,2913.7910732185123,35.81175753968364,3000.808977707519,1,3
E01S-1223,BN1,N5,86,2964.997220167835,2998.7279075479987,33.730687380163566,2924.8277490915284,2927.8277490915284,2930.8277490915284,2930.8277490915284,2930.8277490915284,2964.997220167835,19.986948969044533,3018.7148565170432,0,1
E01S-1224,BN1,N2,87,2719.417624147315,2745.0207179647764,25.60309381746118,2609.129711188314,2612.129711188314,2615.129711188314,2615.129711188314,2615.129711188314,2719.417624147315,24.810057729137952,2769.8307756939143,0,8
