零件名,套料图名,分段号,齐套优先级,零件类型,释放(min),到半框缓存(min),到齐套区(min)
N1-LG1-2-10BS,E01S-1203,BN1,1,small,1833.597216085681,1875.0378460055272,2708.936668409153
N1-LG1-2-1BP,E01S-1203,BN1,1,small,1833.597216085681,1875.0378460055272,2708.936668409153
N1-LG1-2-1BS,E01S-1203,BN1,1,small,1833.597216085681,1875.0378460055272,2708.936668409153
N1-LG1-2-2BP,E01S-1203,BN1,1,small,1833.597216085681,1875.0378460055272,2708.936668409153
N1-LG1-2-2BS,E01S-1203,BN1,1,small,1833.597216085681,1875.0378460055272,2708.936668409153
N1-LG1-2-3BP,E01S-1203,BN1,1,small,1833.597216085681,1875.0378460055272,2708.936668409153
N1-LG1-2-3BS,E01S-1203,BN1,1,small,1833.597216085681,1875.0378460055272,2708.936668409153
N1-LG1-2-4BP,E01S-1203,BN1,1,small,1833.597216085681,1875.0378460055272,2708.936668409153
N1-LG1-2-4BS,E01S-1203,BN1,1,small,1833.597216085681,1875.0378460055272,2708.936668409153
N1-LG1-2-5BP,E01S-1203,BN1,1,small,1833.597216085681,1875.0378460055272,2708.936668409153
N1-LG1-2-5BS,E01S-1203,BN1,1,small,1833.597216085681,1875.0378460055272,2708.936668409153
N1-LG1-2-6BP,E01S-1203,BN1,1,small,1833.597216085681,1875.0378460055272,2708.936668409153
N1-LG1-2-6BS,E01S-1203,BN1,1,small,1833.597216085681,1875.0378460055272,2708.936668409153
N1-LG1-2-7BP,E01S-1203,BN1,1,small,1833.597216085681,1875.0378460055272,2708.936668409153
N1-LG1-2-7BS,E01S-1203,BN1,1,small,1833.597216085681,1875.0378460055272,2708.936668409153
N1-LG1-2-8BP,E01S-1203,BN1,1,small,1833.597216085681,1875.0378460055272,2708.936668409153
N1-LG1-2-8BS,E01S-1203,BN1,1,small,1833.597216085681,1875.0378460055272,2708.936668409153
N1-LG1-2-9BP,E01S-1203,BN1,1,small,1833.597216085681,1875.0378460055272,2708.936668409153
